11-Oct-19,14-Apr-20,12-Oct-20,12-Apr-21,11-Oct-21,11-Apr-22,11-Oct-22,11-Apr-23,11-Oct-23,11-Apr-24,11-Oct-24,11-Apr-25,13-Oct-25,13-Apr-26,12-Oct-26,12-Apr-27,11-Oct-27,11-Apr-28,11-Oct-28,11-Apr-29
"-0,00327","-0,0045986","-0,00427","-0,00745523","-0,00583","-0,00579176","-0,001","-0,00134057","-0,00816","-0,0062783","-0,00688","-0,0056116","-0,00573","-0,0051983","-0,004","-0,00281458","-0,00292","0,0041517","0,004161","0,0043627"
"-0,00392","-2,03E-05","0,003495","0,00535488","0,004407","0,0129914","0,016077","0,00799676","0,011862","0,0104703","0,011853","0,0113582","0,018723","0,0193552","0,021981","0,0325226","0,034476","0,0299099","0,021676","0,0237511"
"-0,00193","-0,0031637","-0,00331","-0,0108051","-0,01034","-0,00807643","-0,00481","-0,00324547","0,001086","0,00701778","0,003826","0,0047997","0,0078","0,0074289","0,003023","0,00576849","0,008357","0,0149921","0,008889","0,0065072"
"-0,00325","-0,0010597","-0,00189","-0,000413892","0,002225","0,00210079","0,00161","0,00188668","0,006952","0,00744993","0,007514","0,00948545","0,007603","0,0121963","0,016343","0,012765","0,007872","0,0056747","0,004961","0,0056922"
"-0,00254","0,00047105","0,007742","0,00393221","0,010137","0,013378","0,014375","0,0197535","0,022637","0,035301","0,032026","0,0473577","0,042958","0,0484243","0,03874","0,0387889","0,031303","0,0395223","0,041043","0,0369661"
"-0,00636","-0,0051453","-0,00639","-0,0084083","-0,00743","-0,00713999","-0,00284","-0,00288558","-0,00711","-0,005852","-0,00151","-0,0014751","-0,00355","0,0045856","0,004095","0,0082998","0,007369","0,0093408","0,004566","0,0038932"
"-0,00429","-0,0048012","-0,0035","-0,00408663","0,000386","0,00348766","0,010509","0,0194645","0,019791","0,033612","0,029577","0,0275739","0,036973","0,0410858","0,049155","0,052737","0,049301","0,0637996","0,062831","0,0707662"
"-0,00727","-0,0093556","-0,00985","-0,00856433","-0,01125","-0,0109807","-0,01221","-0,0115792","-0,01151","-0,0102975","-0,0119","-0,0103872","-0,01119","-0,0112215","-0,01142","-0,0103649","-0,00934","-0,007685","-0,0096","-0,0115398"
"-0,00535","-0,0053678","-0,00467","0,00291541","0,002088","0,00716466","0,000948","0,0021181","-0,00113","0,00045714","-0,00262","-0,0033916","-0,0009","0,0020434","0,002888","0,00864425","0,010499","0,0082299","0,012093","0,0095212"
"-0,00476","-0,0043753","-0,00461","-0,00265511","0,000234","0,00191593","0,009045","0,0125154","0,010589","0,0163678","0,012627","0,0149134","0,017447","0,0139809","0,013429","0,0143597","0,007945","0,0114235","0,007391","0,011004"
