Start Date,End Date,df
11-Apr-19,11-Apr-19,1
11-Apr-19,11-Oct-19,1.001536984
11-Apr-19,14-Apr-20,1.003147249
11-Apr-19,12-Oct-20,1.004553275
11-Apr-19,12-Apr-21,1.005618578
11-Apr-19,11-Oct-21,1.006170716
11-Apr-19,11-Apr-22,1.00638756
11-Apr-19,11-Oct-22,1.005877215
11-Apr-19,11-Apr-23,1.004898338
11-Apr-19,11-Oct-23,1.003311032
11-Apr-19,11-Apr-24,1.001230075
11-Apr-19,11-Oct-24,0.998546558
11-Apr-19,11-Apr-25,0.995375291
11-Apr-19,13-Oct-25,0.991489763
11-Apr-19,13-Apr-26,0.987144569
11-Apr-19,12-Oct-26,0.982320807
11-Apr-19,12-Apr-27,0.977006798
11-Apr-19,11-Oct-27,0.971319334
11-Apr-19,11-Apr-28,0.965139502
11-Apr-19,11-Oct-28,0.958689367
11-Apr-19,11-Apr-29,0.95185586
11-Apr-19,11-Oct-29,0.944875772
